run_date,ticker,session,event_date,entry_date,reaction_date,rank,impact_sum,conviction,impact_sum_pre_lessons,lessons_delta,n_findings,neg_runup,dollar_vol,plan_dollar_volume_usd,sector,industry,shortable,easy_to_borrow,tradable_flag,market_cap_usd,churn_pct,retail_tilt,pending,duplicate_event,traded,entry_close,mv_open,mv_close,ret_open,ret_close,trade_ret_pct,trade_pnl_usd
2026-08-31,NIO,bmo,2026-09-01,2026-08-31,2026-09-01,1,0.55,0.55,,,5,9.15,117172783.78,,Consumer Cyclical,Auto Manufacturers,True,True,True,10949765100.0,1.07,47.2,False,False,False,4.23,-3.546,-4.019,-3.546,-4.019,,
2026-08-31,HMR,bmo,2026-09-01,2026-08-31,2026-09-01,2,-1.65,1.65,,,7,-24.33,69265.8389,,Industrials,Marine Shipping,False,False,True,83178720.0,0.083,68.2,False,False,False,1.39,0.0,-10.791,-0.0,10.791,,
2026-08-31,MDT,bmo,2026-09-01,2026-08-31,2026-09-01,3,0.07500000000000001,0.07500000000000001,,,4,-4.38,564339141.675,,Healthcare,Medical Devices,True,True,True,116772651000.0,0.483,13.6,False,False,False,90.65,3.696,1.533,3.696,1.533,,
2026-08-31,MMED,bmo,2026-09-01,2026-08-31,2026-09-01,4,-0.30000000000000004,0.30000000000000004,,,10,-4.55,22664931.529999997,,Healthcare,Medical Instruments & Supplies,False,False,True,5655133700.0,0.401,36.6,False,False,False,20.26,0.691,10.661,-0.691,-10.661,,
2026-08-31,ZEPP,bmo,2026-09-01,2026-08-31,2026-09-01,5,-4.4,4.4,,,5,-12.98,190114.925,,Technology,Consumer Electronics,False,False,True,73911504.0,0.257,63.8,False,False,False,4.82,3.734,-6.639,-3.734,6.639,,
2026-08-31,CANG,amc,2026-08-31,2026-08-31,2026-09-01,6,-4.5,4.5,,,5,-43.73,1095945.11,,Financial Services,Capital Markets,False,False,True,106246896.0,1.032,81.8,False,False,False,2.39,-13.389,-23.013,13.389,23.013,,
2026-08-31,YEXT,bmo,2026-09-01,2026-08-31,2026-09-01,7,-6.45,6.45,,,6,-20.07,4614684.8,,Technology,Software—Infrastructure,True,True,True,692714500.0,0.666,49.5,False,False,False,6.77,13.146,-3.545,-13.146,3.545,,
2026-08-31,RZLV,bmo,2026-09-01,2026-08-31,2026-09-01,8,-18.35,18.35,,,9,-10.41,44972173.1,,Technology,Software—Infrastructure,False,False,True,1189163520.0,3.782,78.3,False,False,False,2.89,-12.803,-17.301,12.803,17.301,,
2026-09-01,SPWH,amc,2026-09-01,2026-09-01,2026-09-02,1,11.25,11.25,,,7,-3.04,327378.765,,Consumer Cyclical,Specialty Retail,True,True,True,45262960.0,0.723,61.5,False,False,False,1.2,11.667,6.667,11.667,6.667,,
2026-09-01,CRDO,amc,2026-09-01,2026-09-01,2026-09-02,2,2.35,2.35,,,3,1.19,884909844.0,,Technology,Semiconductors,True,True,True,43741794000.0,2.023,47.6,False,False,False,206.63,-8.709,-20.041,-8.709,-20.041,,
